episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_faulty_episodes,num_healthy_workers,num_in_flight_async_reqs,num_remote_worker_restarts,num_agent_steps_sampled,num_agent_steps_trained,num_env_steps_sampled,num_env_steps_trained,num_env_steps_sampled_this_iter,num_env_steps_trained_this_iter,num_env_steps_sampled_throughput_per_sec,num_env_steps_trained_throughput_per_sec,timesteps_total,num_steps_trained_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,info/num_env_steps_sampled,info/num_env_steps_trained,info/num_agent_steps_sampled,info/num_agent_steps_trained,sampler_results/episode_reward_max,sampler_results/episode_reward_min,sampler_results/episode_reward_mean,sampler_results/episode_len_mean,sampler_results/episodes_this_iter,sampler_results/num_faulty_episodes,hist_stats/episode_reward,hist_stats/episode_lengths,timers/training_iteration_time_ms,timers/sample_time_ms,timers/synch_weights_time_ms,counters/num_env_steps_sampled,counters/num_env_steps_trained,counters/num_agent_steps_sampled,counters/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,sampler_results/hist_stats/episode_reward,sampler_results/hist_stats/episode_lengths,info/learner/__all__/num_agent_steps_trained,info/learner/__all__/num_env_steps_trained,info/learner/__all__/total_loss,info/learner/policy_0/total_loss,info/learner/policy_0/policy_loss,info/learner/policy_0/vf_loss,info/learner/policy_0/vf_loss_unclipped,info/learner/policy_0/vf_explained_var,info/learner/policy_0/entropy,info/learner/policy_0/mean_kl_loss,info/learner/policy_0/curr_lr,info/learner/policy_0/curr_entropy_coeff,info/learner/policy_0/curr_kl_coeff
nan,nan,nan,nan,0,0,2,0,0,16000,0,4000,0,4000,0,445.03171735255455,0.0,4000,0,16000,False,0,1,3d3d1_00000,2023-09-20_10-25-37,1695198337,9.298169374465942,9.298169374465942,14104,DESKTOP-GEN7OBM,127.0.0.1,9.298169374465942,1,4000,0,16000,0,nan,nan,nan,nan,0,0,[],[],8988.123,6694.119,2.0,4000,0,16000,0,4.8500000000000005,41.792857142857144,[],[],128.0,16000.0,4.414911771953106,4.414911771953106,-0.0014038924768567085,4.4149840294122695,6.304403667473793,-0.003057745170593262,5.790096870422364,0.006658007809054106,5e-05,0.0,0.20000000298023224
nan,nan,nan,nan,0,0,2,0,0,32000,0,8000,0,4000,0,437.7769421466836,0.0,8000,0,32000,False,0,2,3d3d1_00000,2023-09-20_10-25-46,1695198346,9.139074325561523,18.437243700027466,14104,DESKTOP-GEN7OBM,127.0.0.1,18.437243700027466,2,8000,0,32000,0,nan,nan,nan,nan,0,0,[],[],9062.598,6799.445,2.0,8000,0,32000,0,4.458333333333333,41.99166666666667,[],[],128.0,16000.0,2.934156066837907,2.934156066837907,-0.0027715564347803594,2.9349020782828332,3.587209945523739,0.00023021841049194336,5.6579299179077145,0.010127688700123691,5e-05,0.0,0.20000000298023224
nan,nan,nan,nan,0,0,2,0,0,48000,0,12000,0,4000,0,426.59715759306084,0.0,12000,0,48000,False,0,3,3d3d1_00000,2023-09-20_10-25-56,1695198356,9.378525972366333,27.8157696723938,14104,DESKTOP-GEN7OBM,127.0.0.1,27.8157696723938,3,12000,0,48000,0,nan,nan,nan,nan,0,0,[],[],9167.241,6899.499,2.001,12000,0,48000,0,4.142857142857143,42.00714285714286,[],[],128.0,16000.0,3.396666332101822,3.396666332101822,-0.003218413132429123,3.39799972294569,4.574466904342175,-0.0003085348129272461,5.662750525665283,0.009425216759194154,5e-05,0.0,0.20000000298023224
nan,nan,nan,nan,0,0,2,0,0,64000,0,16000,0,4000,0,431.45317715771193,0.0,16000,0,64000,False,0,4,3d3d1_00000,2023-09-20_10-26-05,1695198365,9.27199411392212,37.08776378631592,14104,DESKTOP-GEN7OBM,127.0.0.1,37.08776378631592,4,16000,0,64000,0,nan,nan,nan,nan,0,0,[],[],9193.18,6926.576,2.251,16000,0,64000,0,6.407692307692307,42.0846153846154,[],[],128.0,16000.0,2.9433258292347193,2.9433258292347193,-0.0021261576313525436,2.943805960020423,3.6028307233184576,-0.0029323205947875976,5.608550603485107,0.008230161762682837,5e-05,0.0,0.20000000298023224
nan,nan,nan,nan,0,0,2,0,0,80000,0,20000,0,4000,0,432.50512731230464,0.0,20000,0,80000,False,0,5,3d3d1_00000,2023-09-20_10-26-14,1695198374,9.250444889068604,46.33820867538452,14104,DESKTOP-GEN7OBM,127.0.0.1,46.33820867538452,5,20000,0,80000,0,nan,nan,nan,nan,0,0,[],[],9204.233,6945.956,2.201,20000,0,80000,0,6.938461538461538,42.12307692307692,[],[],128.0,16000.0,4.746565274315327,4.746565274315327,-0.0053474937915802,4.750187054985761,1028.145173410958,0.010531189823150634,5.555322947692871,0.008628606403825689,5e-05,0.0,0.20000000298023224
nan,nan,nan,nan,0,0,2,0,0,96000,0,24000,0,4000,0,424.01619879236927,0.0,24000,0,96000,False,0,6,3d3d1_00000,2023-09-20_10-26-24,1695198384,9.435602188110352,55.77381086349487,14104,DESKTOP-GEN7OBM,127.0.0.1,55.77381086349487,6,24000,0,96000,0,nan,nan,nan,nan,0,0,[],[],9242.461,6984.87,2.167,24000,0,96000,0,6.992307692307691,42.184615384615384,[],[],128.0,16000.0,7.831614796178043,7.831614796178043,-0.0030075395196676254,7.832202157878876,13315.887643111706,0.008782021045684815,5.946546618652344,0.012100865981360403,5e-05,0.0,0.20000000298023224
nan,nan,nan,nan,0,0,2,0,0,112000,0,28000,0,4000,0,422.1686385607851,0.0,28000,0,112000,False,0,7,3d3d1_00000,2023-09-20_10-26-33,1695198393,9.475886583328247,65.24969744682312,14104,DESKTOP-GEN7OBM,127.0.0.1,65.24969744682312,7,28000,0,112000,0,nan,nan,nan,nan,0,0,[],[],9275.665,7010.46,2.144,28000,0,112000,0,5.738461538461538,42.215384615384615,[],[],128.0,16000.0,8.786499819374084,8.786499819374084,0.0031439864218235016,8.782022776687144,34349.181900969204,0.011763913249969482,6.107077113342285,0.00666523447632062,5e-05,0.0,0.20000000298023224
nan,nan,nan,nan,0,0,2,0,0,128000,0,32000,0,4000,0,439.2672016701417,0.0,32000,0,128000,False,0,8,3d3d1_00000,2023-09-20_10-26-42,1695198402,9.10807490348816,74.35777235031128,14104,DESKTOP-GEN7OBM,127.0.0.1,74.35777235031128,8,32000,0,128000,0,nan,nan,nan,nan,0,0,[],[],9254.466,6990.795,2.251,32000,0,128000,0,4.3999999999999995,42.39999999999999,[],[],128.0,16000.0,8.986502506694197,8.986502506694197,0.002096961275395006,8.983833320903779,48241.93845002985,-0.004398791027069092,6.1341015785217285,0.0028611634641942147,5e-05,0.0,0.10000000149011612
nan,nan,nan,nan,0,0,2,0,0,144000,0,36000,0,4000,0,425.2005090986339,0.0,36000,0,144000,False,0,9,3d3d1_00000,2023-09-20_10-26-52,1695198412,9.408326387405396,83.76609873771667,14104,DESKTOP-GEN7OBM,127.0.0.1,83.76609873771667,9,36000,0,144000,0,nan,nan,nan,nan,0,0,[],[],9271.45,7006.043,2.223,36000,0,144000,0,4.1230769230769235,42.50769230769231,[],[],128.0,16000.0,9.04689951032102,9.04689951032102,-0.0015841084569692611,9.047607843983174,55303.32358358632,-0.00014604101181030273,6.117189485931396,0.008757967954573178,5e-05,0.0,0.10000000149011612
nan,nan,nan,nan,0,0,2,0,0,160000,0,40000,0,4000,0,425.102855601866,0.0,40000,0,160000,False,0,10,3d3d1_00000,2023-09-20_10-27-01,1695198421,9.410487413406372,93.17658615112305,14104,DESKTOP-GEN7OBM,127.0.0.1,93.17658615112305,10,40000,0,160000,0,nan,nan,nan,nan,0,0,[],[],9285.254,7020.434,2.201,40000,0,160000,0,4.007142857142857,42.550000000000004,[],[],128.0,16000.0,9.64774957304001,9.64774957304001,-0.00018850606828927993,9.6471800437212,58375.386986941456,-0.00020069656372070314,6.100527713012696,0.0075802439259699895,5e-05,0.0,0.10000000149011612
nan,nan,nan,nan,0,0,2,0,0,176000,0,44000,0,4000,0,423.7782054713086,0.0,44000,0,176000,False,0,11,3d3d1_00000,2023-09-20_10-27-11,1695198431,9.44089961051941,102.61748576164246,14104,DESKTOP-GEN7OBM,127.0.0.1,102.61748576164246,11,44000,0,176000,0,nan,nan,nan,nan,0,0,[],[],9330.332,7066.583,2.101,44000,0,176000,0,4.053846153846153,42.60769230769232,[],[],128.0,16000.0,9.996929913330078,9.996929913330078,-0.0014004891738295556,9.99772899169922,63356.0497640625,0.0060358484268188475,6.015419210052491,0.006014139879086724,5e-05,0.0,0.10000000149011612
